# Layer 2 (Die attach) 열화 예제, 열화배율 2.5
# P=10 W, T0=25 degC, step heating, noise sigma=0.002 degC
# Rth_total=0.85769 K/W
time_s,temperature_C,delta_temperature_C,Zth_K_per_W
1.1575644,33.568866,8.5688661,0.85688661
1.2311217,33.570924,8.5709243,0.85709243
1.3093533,33.573321,8.5733206,0.85733206
1.3925561,33.572426,8.5724264,0.85724264
1.481046,33.57205,8.57205,0.857205
1.5751591,33.574304,8.5743042,0.85743042
1.6752525,33.577322,8.5773222,0.85773222
1.7817063,33.579421,8.5794214,0.85794214
1.8949248,33.573613,8.5736126,0.85736126
2.0153377,33.574101,8.574101,0.8574101
2.1434022,33.579027,8.5790271,0.85790271
2.2796046,33.578614,8.5786142,0.85786142
2.424462,33.579875,8.579875,0.8579875
2.5785244,33.578906,8.5789064,0.85789064
2.7423766,33.576723,8.5767227,0.85767227
2.9166408,33.578473,8.5784729,0.85784729
3.1019786,33.577512,8.5775121,0.85775121
3.2990937,33.577383,8.5773834,0.85773834
3.5087345,33.577512,8.5775116,0.85775116
3.7316968,33.575928,8.5759278,0.85759278
3.9688274,33.57639,8.5763896,0.85763896
4.2210263,33.577651,8.5776514,0.85776514
4.4892513,33.57738,8.5773803,0.85773803
4.7745205,33.578308,8.5783083,0.85783083
5.0779172,33.579677,8.5796774,0.85796774
5.4005933,33.573987,8.573987,0.8573987
5.7437737,33.579311,8.5793114,0.85793114
6.1087616,33.578649,8.5786486,0.85786486
6.4969426,33.575703,8.5757034,0.85757034
6.9097905,33.576954,8.5769538,0.85769538
7.3488729,33.576144,8.5761444,0.85761444
7.8158567,33.573078,8.5730785,0.85730785
8.312515,33.576619,8.5766195,0.85766195
8.8407334,33.579934,8.5799339,0.85799339
9.4025174,33.57901,8.5790103,0.85790103
10,33.578156,8.5781563,0.85781563
